id,module,name,file,doc,markers,status,message,duration
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_001_valid_request,header_tag.test_trending_tag_api,test_tc_api_001_valid_request,header_tag/test_trending_tag_api.py,TC_API_001: Validasi request dengan X-API-Key yang valid,,passed,,0.31557354202959687
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_002_missing_api_key,header_tag.test_trending_tag_api,test_tc_api_002_missing_api_key,header_tag/test_trending_tag_api.py,TC_API_002: Validasi request tanpa header X-API-Key,,passed,,0.09055287507362664
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_003_invalid_api_key,header_tag.test_trending_tag_api,test_tc_api_003_invalid_api_key,header_tag/test_trending_tag_api.py,TC_API_003: Validasi request dengan X-API-Key salah/kadaluarsa,,passed,,0.09109962498769164
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_004_missing_client_id,header_tag.test_trending_tag_api,test_tc_api_004_missing_client_id,header_tag/test_trending_tag_api.py,TC_API_004: Validasi request tanpa parameter client_id,,passed,,0.14644966600462794
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_005_valid_client_id,header_tag.test_trending_tag_api,test_tc_api_005_valid_client_id,header_tag/test_trending_tag_api.py,TC_API_005: Validasi request dengan client_id valid dan unik,,passed,,0.08538170799147338
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_006_valid_page_mode_popular,header_tag.test_trending_tag_api,test_tc_api_006_valid_page_mode_popular,header_tag/test_trending_tag_api.py,TC_API_006: Validasi page_mode=popular menghasilkan data trending tag,,passed,,0.15837783401366323
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_007_invalid_page_mode,header_tag.test_trending_tag_api,test_tc_api_007_invalid_page_mode,header_tag/test_trending_tag_api.py,TC_API_007: Validasi page_mode selain 'popular',,passed,,0.08791879191994667
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_008_page_mode_case_sensitivity,header_tag.test_trending_tag_api,test_tc_api_008_page_mode_case_sensitivity,header_tag/test_trending_tag_api.py,TC_API_008: Validasi page_mode dengan huruf besar/kombinasi,,passed,,0.1390089999185875
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_009_missing_page_mode,header_tag.test_trending_tag_api,test_tc_api_009_missing_page_mode,header_tag/test_trending_tag_api.py,TC_API_009: Validasi request tanpa parameter page_mode,,passed,,0.15851554193068296
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_010_default_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_010_default_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_010: Validasi num_recommendation tidak dikirim menggunakan default,,passed,,0.09456474997568876
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_011_custom_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_011_custom_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_011: Validasi num_recommendation custom (kurang dari default),,passed,,0.13849387492518872
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_012_max_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_012_max_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_012: Validasi num_recommendation pada nilai maksimal (boundary),,passed,,0.14398216700647026
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_013_exceed_max_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_013_exceed_max_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_013: Validasi num_recommendation melebihi batas maksimal,,passed,,0.1038262500660494
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_014_zero_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_014_zero_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_014: Validasi num_recommendation = 0 tetap mengembalikan default tag,,passed,,0.09778433304745704
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_015_negative_num_recommendation,header_tag.test_trending_tag_api,test_tc_api_015_negative_num_recommendation,header_tag/test_trending_tag_api.py,TC_API_015: Validasi num_recommendation bernilai negatif,,passed,,0.09226049995049834
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_016_missing_source_url,header_tag.test_trending_tag_api,test_tc_api_016_missing_source_url,header_tag/test_trending_tag_api.py,TC_API_016: Validasi request dari Mobile App tidak mengirim source_url,,passed,,0.15240658400580287
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_017_with_source_url,header_tag.test_trending_tag_api,test_tc_api_017_with_source_url,header_tag/test_trending_tag_api.py,TC_API_017: Validasi request yang tetap mengirim source_url tetap HTTP 200,,passed,,0.15086266689468175
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_018_high_similarity_score,header_tag.test_trending_tag_api,test_tc_api_018_high_similarity_score,header_tag/test_trending_tag_api.py,TC_API_018: Validasi similarity_score dengan nilai custom lebih tinggi (lebih ketat),,passed,,0.09210633300244808
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_api_019_low_similarity_score,header_tag.test_trending_tag_api,test_tc_api_019_low_similarity_score,header_tag/test_trending_tag_api.py,TC_API_019: Validasi similarity_score dengan nilai custom lebih rendah (lebih longgar),,passed,,0.1510413329815492
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_001_response_structure,header_tag.test_trending_tag_api,test_tc_resp_001_response_structure,header_tag/test_trending_tag_api.py,TC_RESP_001: Validasi struktur response sesuai kontrak API,,passed,,0.15083066700026393
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_002_valid_tag_url,header_tag.test_trending_tag_api,test_tc_resp_002_valid_tag_url,header_tag/test_trending_tag_api.py,TC_RESP_002: Validasi setiap tag_url mengarah ke halaman tag yang valid,,passed,,0.6571053749648854
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_003_fallback_from_redis,header_tag.test_trending_tag_api,test_tc_resp_003_fallback_from_redis,header_tag/test_trending_tag_api.py,TC_RESP_003: Validasi sistem mengambil data dari Redis saat database utama gagal,skip,skipped,Skipped: Skipped: Kondisi yang menyebabkan skip: Membutuhkan simulasi kegagalan database utama (infrastruktur tidak disiapkan untuk ini saat testing),0.00028962502256035805
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_filter_002_blacklisted_tag_not_in_result,header_tag.test_trending_tag_api,test_tc_filter_002_blacklisted_tag_not_in_result,header_tag/test_trending_tag_api.py,TC_FILTER_002: Validasi tag yang termasuk daftar dilarang (blacklist) tidak muncul.,skip,skipped,Skipped: Skipped: Kondisi yang menyebabkan skip: Membutuhkan data seed blacklist di backend untuk membuktikan filter berfungsi,0.0001361659960821271
header_tag/test_trending_tag_api.py::TestTrendingTagAPI::test_tc_resp_004_fallback_response_marker,header_tag.test_trending_tag_api,test_tc_resp_004_fallback_response_marker,header_tag/test_trending_tag_api.py,TC_RESP_004: Validasi response fallback ditandai dengan field type: default-value,skip,skipped,Skipped: Skipped: Kondisi yang menyebabkan skip: Membutuhkan fallback aktif dari backend (Database utama down) untuk mendapatkan field 'type': 'default-value',0.00013995904009789228
